,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Category,Age Index,EnvironmentSatisfaction_Category,WorkLifeBalance_Category,JobInvolvement_Category
0,41,Yes,Travel_Rarely,1102,Sales,1,Life Sciences,2,Female,94,3,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Bachelor,Gen X 39-54 Y,Medium,Low,Better
1,49,No,Travel_Frequently,279,Research & Development,8,Life Sciences,3,Male,61,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,Bachelor,Gen X 39-54 Y,High,High,Good
2,37,Yes,Travel_Rarely,1373,Research & Development,2,Other,4,Male,92,2,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Bachelor,Millenials 24-38 Y,Very High,High,Good
3,33,No,Travel_Frequently,1392,Research & Development,3,Life Sciences,4,Female,56,3,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Master,Millenials 24-38 Y,Very High,High,Better
4,27,No,Travel_Rarely,591,Research & Development,2,Medical,1,Male,40,3,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Bachelor,Millenials 24-38 Y,Low,High,Better
5,32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,4,Male,79,3,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Bachelor,Millenials 24-38 Y,Very High,Medium,Better
6,59,No,Travel_Rarely,1324,Research & Development,3,Medical,3,Female,81,4,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Bachelor,Gen Boomers >= 55 Y,High,Medium,Very High
7,30,No,Travel_Rarely,1358,Research & Development,24,Life Sciences,4,Male,67,3,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Bachelor,Millenials 24-38 Y,Very High,High,Better
8,38,No,Travel_Frequently,216,Research & Development,23,Life Sciences,4,Male,44,2,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,Bachelor,Millenials 24-38 Y,Very High,High,Good
9,36,No,Travel_Rarely,1299,Research & Development,27,Medical,3,Male,94,3,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Bachelor,Millenials 24-38 Y,High,Medium,Better
10,35,No,Travel_Rarely,809,Research & Development,16,Medical,1,Male,84,4,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,Bachelor,Millenials 24-38 Y,Low,High,Very High
11,29,No,Travel_Rarely,153,Research & Development,15,Life Sciences,4,Female,49,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,Bachelor,Millenials 24-38 Y,Very High,High,Good
12,31,No,Travel_Rarely,670,Research & Development,26,Life Sciences,1,Male,31,3,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,Bachelor,Millenials 24-38 Y,Low,Medium,Better
13,34,No,Travel_Rarely,1346,Research & Development,19,Medical,2,Male,93,3,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,Bachelor,Millenials 24-38 Y,Medium,High,Better
14,28,Yes,Travel_Rarely,103,Research & Development,24,Life Sciences,3,Male,50,2,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Bachelor,Millenials 24-38 Y,High,High,Good
15,29,No,Travel_Rarely,1389,Research & Development,21,Life Sciences,2,Female,51,4,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,Master,Millenials 24-38 Y,Medium,High,Very High
16,32,No,Travel_Rarely,334,Research & Development,5,Life Sciences,1,Male,80,4,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Bachelor,Millenials 24-38 Y,Low,Medium,Very High
17,22,No,Non-Travel,1123,Research & Development,16,Medical,4,Male,96,4,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,Bachelor,Gen Z 18 - 23 Y,Very High,Medium,Very High
18,53,No,Travel_Rarely,1219,Sales,2,Life Sciences,1,Female,78,2,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,Master,Gen X 39-54 Y,Low,High,Good
19,38,No,Travel_Rarely,371,Research & Development,2,Life Sciences,4,Male,45,3,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,Bachelor,Millenials 24-38 Y,Very High,High,Better
20,24,No,Non-Travel,673,Research & Development,11,Other,1,Female,96,4,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,Bachelor,Millenials 24-38 Y,Low,Medium,Very High
21,36,Yes,Travel_Rarely,1218,Sales,9,Life Sciences,3,Male,82,2,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,Master,Millenials 24-38 Y,High,High,Good
22,34,No,Travel_Rarely,419,Research & Development,7,Life Sciences,1,Female,53,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,Master,Millenials 24-38 Y,Low,High,Better
23,21,No,Travel_Rarely,391,Research & Development,15,Life Sciences,3,Male,96,3,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,Bachelor,Gen Z 18 - 23 Y,High,High,Better
24,34,Yes,Travel_Rarely,699,Research & Development,6,Medical,2,Male,83,3,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,Bachelor,Millenials 24-38 Y,Medium,High,Better
25,53,No,Travel_Rarely,1282,Research & Development,5,Other,3,Female,58,3,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,Bachelor,Gen X 39-54 Y,High,Medium,Better
26,32,Yes,Travel_Frequently,1125,Research & Development,16,Life Sciences,2,Female,72,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,Bachelor,Millenials 24-38 Y,Medium,High,Bad
27,42,No,Travel_Rarely,691,Sales,8,Marketing,3,Male,48,3,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,Master,Gen X 39-54 Y,High,High,Better
28,44,No,Travel_Rarely,477,Research & Development,7,Medical,1,Female,42,2,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,Master,Gen X 39-54 Y,Low,High,Good
29,46,No,Travel_Rarely,705,Sales,2,Marketing,2,Female,83,3,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,Master,Gen X 39-54 Y,Medium,Medium,Better
30,33,No,Travel_Rarely,924,Research & Development,2,Medical,3,Male,78,3,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,Bachelor,Millenials 24-38 Y,High,High,Better
31,44,No,Travel_Rarely,1459,Research & Development,10,Other,4,Male,41,3,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,Master,Gen X 39-54 Y,Very High,Best,Better
32,30,No,Travel_Rarely,125,Research & Development,9,Medical,4,Male,83,2,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,Bachelor,Millenials 24-38 Y,Very High,High,Good
33,39,Yes,Travel_Rarely,895,Sales,5,Technical Degree,4,Male,56,3,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,Bachelor,Gen X 39-54 Y,Very High,Best,Better
34,24,Yes,Travel_Rarely,813,Research & Development,1,Medical,2,Male,61,3,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,Bachelor,Millenials 24-38 Y,Medium,Medium,Better
35,43,No,Travel_Rarely,1273,Research & Development,2,Medical,4,Female,72,4,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,Bachelor,Gen X 39-54 Y,Very High,Medium,Very High
36,50,Yes,Travel_Rarely,869,Sales,3,Marketing,1,Male,86,2,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,Bachelor,Gen X 39-54 Y,Low,High,Good
37,35,No,Travel_Rarely,890,Sales,2,Marketing,4,Female,97,3,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,Bachelor,Millenials 24-38 Y,Very High,High,Better
38,36,No,Travel_Rarely,852,Research & Development,5,Life Sciences,2,Female,82,2,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,Master,Millenials 24-38 Y,Medium,Best,Good
39,33,No,Travel_Frequently,1141,Sales,1,Life Sciences,3,Female,42,4,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,Bachelor,Millenials 24-38 Y,High,High,Very High
40,35,No,Travel_Rarely,464,Research & Development,4,Other,3,Male,75,3,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,Bachelor,Millenials 24-38 Y,High,High,Better
41,27,No,Travel_Rarely,1240,Research & Development,2,Life Sciences,4,Female,33,3,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,Master,Millenials 24-38 Y,Very High,High,Better
42,26,Yes,Travel_Rarely,1357,Research & Development,25,Life Sciences,1,Male,48,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,Bachelor,Millenials 24-38 Y,Low,Medium,Bad
43,27,No,Travel_Frequently,994,Sales,8,Life Sciences,4,Male,37,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,Bachelor,Millenials 24-38 Y,Very High,High,Better
44,30,No,Travel_Frequently,721,Research & Development,1,Medical,3,Female,58,3,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,Bachelor,Millenials 24-38 Y,High,High,Better
45,41,Yes,Travel_Rarely,1360,Research & Development,12,Technical Degree,2,Female,49,3,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,Bachelor,Gen X 39-54 Y,Medium,High,Better
46,34,No,Non-Travel,1065,Sales,23,Marketing,2,Male,72,3,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,Master,Millenials 24-38 Y,Medium,High,Better
47,37,No,Travel_Rarely,408,Research & Development,19,Life Sciences,2,Male,73,3,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,Bachelor,Millenials 24-38 Y,Medium,High,Better
48,46,No,Travel_Frequently,1211,Sales,5,Marketing,1,Male,98,3,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,Master,Gen X 39-54 Y,Low,High,Better
49,35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,4,Male,36,4,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,Bachelor,Millenials 24-38 Y,Very High,High,Very High
50,48,Yes,Travel_Rarely,626,Research & Development,1,Life Sciences,1,Male,98,2,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,Bachelor,Gen X 39-54 Y,Low,High,Good
51,28,Yes,Travel_Rarely,1434,Research & Development,5,Technical Degree,3,Male,50,3,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,Master,Millenials 24-38 Y,High,Medium,Better
52,44,No,Travel_Rarely,1488,Sales,1,Marketing,2,Female,75,3,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,Doctor,Gen X 39-54 Y,Medium,Medium,Better
